     ,activation_hidden ,alpha ,batch_size ,hidden_layer_sizes ,lambd   ,learning_rate ,learning_rate_init ,nesterov ,tau
 136 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,500
 137 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.005  ,False    ,500
 138 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,False    ,200
 139 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.1    ,False    ,500
 140 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.001   ,linear_decay  ,            0.1    ,False    ,200
 141 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,True     ,200
 142 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,200
 143 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
 144 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,True     ,200
 145 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,            0.01   ,False    ,500
 146 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
 147 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.005  ,False    ,500
 148 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,True     ,500
 149 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
 150 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.01   ,True     ,200
 151 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.005  ,False    ,500
 152 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.01   ,True     ,200
 153 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.1    ,False    ,500
 154 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.005  ,True     ,500
 155 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,False    ,500
 156 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,            0.1    ,False    ,500
 157 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
 158 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,False    ,500
 159 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,200
