     ,activation_hidden ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
 100 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0001 ,False
 101 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
 102 ,tanh              ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,True
 103 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 104 ,logistic          ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 105 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0001 ,False
 106 ,logistic          ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
 107 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 108 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 109 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,True
 110 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
 111 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 112 ,logistic          ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 113 ,tanh              ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
 114 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 115 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 116 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,True
 117 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,True
 118 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
 119 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 120 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 121 ,logistic          ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 122 ,logistic          ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 123 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 124 ,logistic          ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
 125 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0001 ,False
 126 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,False
 127 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 128 ,logistic          ,  0.5 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 129 ,logistic          ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 130 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
 131 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 132 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 133 ,logistic          ,  0.8 ,       1   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
 134 ,logistic          ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 135 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 136 ,tanh              ,  0.8 ,       1   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0001 ,False
 137 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,False
