,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
293,tanh,logistic,32,[4],0.001,0.01,0.7,uniform
294,tanh,logistic,16,[4],0.01,0.001,,
295,logistic,logistic,8,[4],0.001,0.05,,
296,tanh,tanh,8,[4],0.001,0.005,0.7,uniform
297,tanh,logistic,1,[4],0.005,0.005,,
298,tanh,logistic,1,[4],0.001,0.01,,
299,tanh,tanh,1,[4],0.001,0.01,,
300,tanh,tanh,8,[4],0.001,0.005,,
301,tanh,logistic,1,[4],0.002,0.005,0.7,uniform
302,tanh,logistic,32,[4],0.001,0.05,,
303,logistic,tanh,8,[4],0.002,0.01,,
304,logistic,tanh,8,[4],0.01,0.001,0.7,uniform
305,tanh,tanh,32,[4],0.001,0.01,0.7,uniform
306,logistic,tanh,1,[4],0.001,0.005,,
307,tanh,tanh,1,[4],0.001,0.005,0.7,uniform
308,logistic,tanh,32,[4],0.01,0.005,,
309,logistic,tanh,32,[4],0.002,0.05,0.7,uniform
310,tanh,tanh,16,[4],0.005,0.05,0.7,uniform
311,logistic,logistic,8,[4],0.01,0.005,,
312,tanh,tanh,16,[4],0.002,0.01,,
313,tanh,logistic,1,[4],0.005,0.01,,
314,tanh,tanh,8,[4],0.005,0.01,0.7,uniform
315,tanh,tanh,1,[4],0.005,0.005,0.7,uniform
316,tanh,tanh,16,[4],0.001,0.005,,
317,logistic,tanh,8,[4],0.001,0.01,,
318,logistic,tanh,1,[4],0.005,0.005,,
319,tanh,tanh,8,[4],0.002,0.005,,
320,tanh,tanh,1,[4],0.001,0.001,,
321,tanh,logistic,16,[4],0.002,0.05,0.7,uniform
322,tanh,tanh,1,[4],0.002,0.01,0.7,uniform
323,tanh,tanh,8,[4],0.01,0.05,0.7,uniform
324,tanh,logistic,16,[4],0.001,0.05,0.7,uniform
325,logistic,tanh,16,[4],0.001,0.05,,
326,logistic,tanh,1,[4],0.01,0.005,,
327,logistic,logistic,1,[4],0.005,0.05,,
328,tanh,tanh,1,[4],0.002,0.001,,
329,tanh,tanh,16,[4],0.002,0.05,,
330,tanh,logistic,1,[4],0.002,0.01,,
331,tanh,logistic,1,[4],0.001,0.05,0.7,uniform
332,tanh,tanh,8,[4],0.002,0.05,0.7,uniform
333,tanh,logistic,1,[4],0.005,0.05,,
334,tanh,logistic,16,[4],0.002,0.05,,
335,tanh,tanh,1,[4],0.002,0.01,,
336,tanh,tanh,1,[4],0.005,0.001,0.7,uniform
337,logistic,tanh,16,[4],0.002,0.05,,
338,tanh,logistic,8,[4],0.002,0.05,,
339,logistic,tanh,16,[4],0.002,0.05,0.7,uniform
340,tanh,tanh,32,[4],0.001,0.01,,
341,tanh,tanh,8,[4],0.002,0.01,,
342,tanh,logistic,1,[4],0.001,0.05,,
343,tanh,tanh,16,[4],0.001,0.05,,
344,tanh,tanh,8,[4],0.001,0.01,,
345,tanh,logistic,8,[4],0.001,0.05,0.7,uniform
346,tanh,logistic,1,[4],0.002,0.005,,
347,tanh,tanh,16,[4],0.002,0.01,0.7,uniform
348,tanh,logistic,16,[4],0.001,0.05,,
349,tanh,tanh,1,[4],0.005,0.01,,
350,tanh,logistic,1,[4],0.001,0.005,,
351,tanh,tanh,8,[4],0.01,0.05,,
352,logistic,tanh,1,[4],0.001,0.005,0.7,uniform
353,logistic,tanh,1,[4],0.001,0.05,0.7,uniform
354,logistic,logistic,16,[4],0.01,0.01,,
355,tanh,tanh,32,[4],0.002,0.05,0.7,uniform
356,tanh,tanh,1,[4],0.001,0.001,0.7,uniform
357,tanh,tanh,8,[4],0.001,0.05,,
358,tanh,tanh,16,[4],0.001,0.01,,
359,tanh,tanh,1,[4],0.001,0.01,0.7,uniform
360,logistic,logistic,8,[4],0.001,0.01,,
361,tanh,tanh,32,[4],0.005,0.05,0.7,uniform
362,logistic,tanh,8,[4],0.001,0.05,0.7,uniform
363,tanh,tanh,1,[4],0.005,0.005,,
364,logistic,tanh,8,[4],0.002,0.001,,
365,logistic,tanh,32,[4],0.001,0.05,0.7,uniform
366,logistic,logistic,1,[4],0.01,0.05,0.7,uniform
367,tanh,tanh,1,[4],0.002,0.005,,
368,tanh,tanh,32,[4],0.005,0.05,,
369,tanh,tanh,1,[4],0.001,0.005,,
370,logistic,tanh,8,[4],0.002,0.001,0.7,uniform
371,tanh,logistic,8,[4],0.001,0.05,,
372,logistic,tanh,8,[4],0.002,0.05,,
373,tanh,tanh,8,[4],0.005,0.05,0.7,uniform
374,logistic,tanh,8,[4],0.002,0.05,0.7,uniform
375,tanh,tanh,8,[4],0.001,0.05,0.7,uniform
