,alpha,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov
233,0.6,"[60, 30]",0.00025,linear_decay,0.08,True
234,0.85,"[30, 30, 30]",0.0001,fixed,0.008,False
235,0.65,"[60, 30]",0.00025,linear_decay,0.06,False
236,0.75,"[60, 30]",0.00025,linear_decay,0.06,False
237,0.8,"[30, 30, 30]",0.001,linear_decay,0.06,False
238,0.9,"[60, 30]",5e-05,fixed,0.004,False
239,0.6,"[30, 30, 30]",0.0001,linear_decay,0.1,True
240,0.75,"[60, 30]",0.0001,linear_decay,0.08,False
241,0.75,"[30, 30, 30]",0.0001,linear_decay,0.08,True
242,0.9,"[60, 30]",0.0005,fixed,0.008,True
243,0.7,"[30, 30, 30]",0.0001,linear_decay,0.05,True
244,0.65,"[30, 30, 30]",0.00025,linear_decay,0.1,True
245,0.6,"[60, 30]",0.0005,linear_decay,0.08,True
246,0.65,"[60, 30]",0.0005,linear_decay,0.06,True
247,0.7,"[60, 30]",0.0005,linear_decay,0.1,False
248,0.75,"[30, 30, 30]",0.00025,linear_decay,0.05,False
249,0.8,"[30, 30, 30]",0.0005,linear_decay,0.08,True
250,0.65,"[60, 30]",0.0001,linear_decay,0.1,True
251,0.7,"[60, 30]",0.00025,linear_decay,0.05,False
252,0.65,"[30, 30, 30]",0.0005,linear_decay,0.05,True
253,0.85,"[30, 30, 30]",0.0001,linear_decay,0.04,False
254,0.8,"[30, 30, 30]",0.00025,linear_decay,0.08,False
255,0.85,"[60, 30]",0.0001,fixed,0.01,False
256,0.85,"[30, 30, 30]",0.0005,linear_decay,0.04,False
257,0.65,"[30, 30, 30]",0.00025,linear_decay,0.06,False
258,0.85,"[60, 30]",0.00025,fixed,0.01,False
259,0.75,"[60, 30]",0.0005,linear_decay,0.05,True
260,0.7,"[60, 30]",0.00025,linear_decay,0.04,False
261,0.85,"[60, 30]",0.0001,linear_decay,0.05,True
262,0.75,"[30, 30, 30]",0.00025,linear_decay,0.04,True
263,0.65,"[60, 30]",0.001,linear_decay,0.1,False
264,0.75,"[30, 30, 30]",5e-05,fixed,0.006,True
265,0.85,"[60, 30]",0.001,linear_decay,0.04,False
266,0.75,"[30, 30, 30]",0.0005,linear_decay,0.04,True
267,0.9,"[30, 30, 30]",0.00025,fixed,0.008,True
268,0.8,"[30, 30, 30]",0.001,linear_decay,0.05,True
269,0.8,"[60, 30]",0.001,linear_decay,0.06,False
270,0.75,"[30, 30, 30]",0.0001,linear_decay,0.04,True
271,0.85,"[60, 30]",0.00025,linear_decay,0.04,True
272,0.6,"[60, 30]",0.0001,linear_decay,0.05,False
273,0.65,"[30, 30, 30]",0.0001,linear_decay,0.1,False
274,0.85,"[30, 30, 30]",0.0001,fixed,0.006,False
275,0.65,"[30, 30, 30]",0.0001,linear_decay,0.04,False
276,0.75,"[30, 30, 30]",0.0001,fixed,0.01,False
277,0.75,"[60, 30]",0.0005,linear_decay,0.06,True
278,0.9,"[30, 30, 30]",0.0001,fixed,0.004,True
279,0.65,"[30, 30, 30]",0.00025,linear_decay,0.05,False
280,0.75,"[30, 30, 30]",0.0001,linear_decay,0.05,False
281,0.9,"[60, 30]",0.00025,fixed,0.006,True
282,0.8,"[60, 30]",0.00025,linear_decay,0.08,True
283,0.9,"[30, 30, 30]",0.0005,fixed,0.006,False
284,0.75,"[30, 30, 30]",5e-05,fixed,0.01,False
285,0.9,"[30, 30, 30]",0.00025,fixed,0.006,True
286,0.75,"[30, 30, 30]",0.001,linear_decay,0.12,False
287,0.7,"[30, 30, 30]",5e-05,fixed,0.01,False
288,0.7,"[60, 30]",0.001,linear_decay,0.12,False
