    ,activation_hidden ,activation_out ,batch_size ,hidden_layer_sizes ,lambd ,learning_rate_init ,weights_bound ,weights_dist
199 ,logistic          ,logistic       ,         4 ,[4]                ,    0 ,            0.005  ,              ,
200 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
201 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.0005 ,              ,
202 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
203 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
204 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,              ,
205 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0001 ,          0.7 ,uniform
206 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
207 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,          0.7 ,uniform
208 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,              ,
209 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
210 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
211 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,              ,
212 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
213 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
214 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0001 ,          0.1 ,uniform
215 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.0001 ,              ,
216 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,          0.1 ,uniform
217 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
218 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
219 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,              ,
220 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,              ,
221 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.001  ,              ,
222 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
223 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,              ,
224 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
225 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
226 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
227 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
228 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,              ,
229 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
230 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.0005 ,              ,
231 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
232 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
233 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
234 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
235 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
236 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.0005 ,              ,
237 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
238 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
239 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
240 ,logistic          ,logistic       ,         4 ,[4]                ,    0 ,            0.001  ,              ,
241 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,          0.7 ,uniform
242 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.0005 ,          0.7 ,uniform
243 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0001 ,          0.1 ,uniform
244 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
245 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0001 ,              ,
246 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0005 ,          0.1 ,uniform
247 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0001 ,          0.7 ,uniform
248 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0005 ,          0.7 ,uniform
249 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,              ,
250 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,              ,
251 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
252 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.0005 ,          0.1 ,uniform
253 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
254 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,              ,
255 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0005 ,          0.1 ,uniform
256 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0005 ,          0.7 ,uniform
257 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
258 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.0005 ,          0.1 ,uniform
259 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
260 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
261 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
262 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,              ,
263 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
264 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
265 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
266 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,              ,
267 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
268 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
269 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
270 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
271 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,              ,
272 ,logistic          ,logistic       ,         4 ,[4]                ,    0 ,            0.001  ,              ,
273 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0001 ,              ,
274 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.0001 ,              ,
275 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,          0.1 ,uniform
276 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.0001 ,          0.7 ,uniform
277 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
278 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.0005 ,          0.1 ,uniform
279 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.001  ,              ,
280 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0001 ,          0.1 ,uniform
281 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.0001 ,              ,
282 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.0001 ,          0.1 ,uniform
283 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0001 ,          0.7 ,uniform
284 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.0005 ,              ,
285 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.0001 ,          0.7 ,uniform
286 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
287 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.001  ,              ,
