,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
260,tanh,tanh,8,[2],0,0.0001,,
261,tanh,tanh,16,[4],0,0.0001,,
262,tanh,tanh,8,[4],0,0.0001,0.7,uniform
263,logistic,logistic,32,[2],0,0.05,,
264,logistic,logistic,1,[4],0,0.001,,
265,tanh,tanh,16,[4],0,0.001,,
266,logistic,logistic,8,[4],0,0.0001,0.7,uniform
267,logistic,logistic,32,[2],0,0.01,,
268,logistic,logistic,8,[4],0,0.005,,
269,logistic,logistic,32,[4],0,0.01,,
270,tanh,tanh,32,[4],0,0.0001,0.7,uniform
271,logistic,tanh,32,[2],0,0.01,0.7,uniform
272,tanh,logistic,16,[4],0,0.001,,
273,tanh,logistic,32,[2],0,0.001,,
274,logistic,logistic,16,[2],0,0.005,,
275,logistic,logistic,8,[2],0,0.001,,
276,logistic,logistic,16,[4],0,0.01,,
277,logistic,logistic,1,[2],0,0.0001,,
278,logistic,tanh,32,[2],0,0.0001,,
279,tanh,logistic,16,[2],0,0.0001,,
280,logistic,logistic,1,[4],0,0.0001,,
281,logistic,logistic,16,[4],0,0.005,,
282,tanh,logistic,8,[4],0,0.0001,0.7,uniform
283,tanh,tanh,16,[2],0,0.0001,,
284,logistic,tanh,16,[4],0,0.0001,,
285,logistic,tanh,16,[2],0,0.0001,,
286,tanh,tanh,32,[2],0,0.0001,,
287,logistic,logistic,8,[4],0,0.0001,,
288,logistic,logistic,8,[4],0,0.001,,
289,tanh,tanh,1,[4],0,0.05,0.7,uniform
290,tanh,tanh,1,[2],0,0.05,0.7,uniform
291,logistic,logistic,32,[2],0,0.0001,0.7,uniform
292,tanh,tanh,1,[2],0,0.05,,
293,tanh,tanh,32,[4],0,0.0001,,
294,logistic,logistic,16,[4],0,0.0001,0.7,uniform
295,tanh,tanh,32,[2],0,0.0001,0.7,uniform
296,tanh,logistic,8,[4],0,0.0001,,
297,tanh,logistic,8,[2],0,0.0001,,
298,logistic,logistic,16,[2],0,0.05,0.7,uniform
299,logistic,logistic,16,[4],0,0.001,,
300,logistic,logistic,16,[2],0,0.001,,
301,tanh,logistic,32,[2],0,0.0001,0.7,uniform
302,tanh,logistic,32,[2],0,0.0001,,
303,tanh,logistic,16,[4],0,0.0001,,
304,tanh,logistic,8,[2],0,0.0001,0.7,uniform
305,logistic,logistic,16,[2],0,0.0001,0.7,uniform
306,logistic,logistic,8,[2],0,0.0001,,
307,tanh,logistic,16,[2],0,0.0001,0.7,uniform
308,tanh,tanh,1,[4],0,0.05,,
309,logistic,logistic,32,[2],0,0.001,,
310,tanh,logistic,16,[4],0,0.0001,0.7,uniform
311,logistic,tanh,32,[4],0,0.0001,,
312,logistic,logistic,32,[4],0,0.0001,0.7,uniform
313,tanh,logistic,32,[4],0,0.0001,0.7,uniform
314,logistic,logistic,32,[4],0,0.001,,
315,tanh,logistic,32,[4],0,0.0001,,
316,logistic,logistic,16,[2],0,0.0001,,
317,logistic,logistic,32,[4],0,0.0001,,
318,logistic,logistic,16,[4],0,0.0001,,
319,logistic,logistic,32,[2],0,0.0001,,
