    ,activation_hidden ,alpha ,batch_size ,hidden_layer_sizes ,lambd   ,learning_rate ,learning_rate_init ,nesterov ,tau
133 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,             0.08  ,True     ,300.0
134 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.04  ,False    ,300.0
135 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,             0.1   ,True     ,300.0
136 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0005  ,fixed         ,             0.008 ,False    ,
137 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,5e-05   ,fixed         ,             0.008 ,True     ,
138 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,             0.08  ,False    ,300.0
139 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,             0.04  ,False    ,300.0
140 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,             0.08  ,False    ,300.0
141 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.0001  ,fixed         ,             0.008 ,False    ,
142 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,             0.06  ,False    ,300.0
143 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,             0.06  ,False    ,300.0
144 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,5e-05   ,fixed         ,             0.004 ,False    ,
145 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,             0.08  ,False    ,300.0
146 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,             0.08  ,True     ,300.0
147 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0005  ,fixed         ,             0.008 ,True     ,
148 ,logistic          , 0.7  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,             0.05  ,True     ,300.0
149 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,             0.05  ,False    ,300.0
150 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,             0.08  ,True     ,300.0
