,activation_hidden,alpha,batch_size,epochs,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov,tau
221,logistic,0.8,128,500,"[30, 30, 30]",0.001,linear_decay,0.01,False,200
222,logistic,0.9,128,500,"[60, 30]",0.00025,fixed,0.001,True,200
223,logistic,0.75,128,500,"[30, 60]",0.0001,linear_decay,0.005,False,500
224,logistic,0.8,128,500,"[60, 30]",0.0005,linear_decay,0.01,True,200
225,logistic,0.8,128,500,"[30, 30]",0.001,linear_decay,0.01,True,500
226,logistic,0.8,128,500,"[30, 60]",0.0001,linear_decay,0.005,False,500
227,logistic,0.75,128,500,"[60, 30]",0.00025,linear_decay,0.01,False,200
228,logistic,0.8,128,500,"[30, 60]",0.00025,linear_decay,0.01,False,200
229,logistic,0.9,128,500,"[30, 30]",0.0001,fixed,0.001,True,200
230,logistic,0.75,128,500,"[30, 60]",0.0005,linear_decay,0.01,False,500
231,logistic,0.75,128,500,"[30, 30]",0.0001,linear_decay,0.005,False,500
232,logistic,0.75,128,500,"[30, 60]",0.0001,linear_decay,0.01,False,200
233,logistic,0.85,128,500,"[60, 30]",0.0001,fixed,0.001,True,200
234,logistic,0.8,128,500,"[30, 30]",0.0005,linear_decay,0.01,False,200
235,logistic,0.75,128,500,"[60, 30]",0.00025,linear_decay,0.005,False,500
236,logistic,0.8,128,500,"[30, 30]",0.00025,linear_decay,0.005,True,500
237,logistic,0.8,128,500,"[30, 30]",0.0005,linear_decay,0.01,True,200
238,logistic,0.8,128,500,"[30, 60]",0.001,linear_decay,0.01,True,500
239,logistic,0.75,128,500,"[30, 30]",0.0001,linear_decay,0.005,True,500
240,logistic,0.85,128,500,"[30, 30]",0.0005,linear_decay,0.01,True,200
241,logistic,0.75,128,500,"[30, 30, 30]",0.0005,linear_decay,0.005,False,500
242,logistic,0.8,128,500,"[60, 30]",0.0005,linear_decay,0.005,False,500
243,logistic,0.75,128,500,"[30, 30, 30]",0.001,linear_decay,0.01,True,500
244,logistic,0.9,128,500,"[60, 30]",0.00025,fixed,0.001,False,200
245,logistic,0.8,128,500,"[30, 30, 30]",0.0005,linear_decay,0.01,True,200
246,logistic,0.85,128,500,"[30, 30, 30]",0.00025,fixed,0.001,False,200
247,logistic,0.8,128,500,"[30, 60]",0.00025,linear_decay,0.005,False,500
248,logistic,0.8,128,500,"[60, 30]",0.0005,linear_decay,0.005,True,500
249,logistic,0.85,128,500,"[30, 30]",0.00025,linear_decay,0.1,False,500
250,logistic,0.75,128,500,"[60, 30]",0.0001,linear_decay,0.1,True,500
251,logistic,0.75,128,500,"[60, 30]",0.001,linear_decay,0.01,False,500
252,logistic,0.8,128,500,"[30, 60]",0.00025,linear_decay,0.005,True,500
253,logistic,0.85,128,500,"[30, 30, 30]",0.0001,fixed,0.001,True,200
254,logistic,0.75,128,500,"[60, 30]",0.0005,linear_decay,0.01,False,200
255,logistic,0.75,128,500,"[30, 30]",0.00025,linear_decay,0.01,True,200
256,logistic,0.8,128,500,"[30, 30, 30]",0.0005,linear_decay,0.005,False,500
257,logistic,0.9,128,500,"[30, 60]",0.0001,fixed,0.001,True,200
