     ,activation_hidden ,activation_out ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
 143 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,True
 144 ,logistic          ,identity       ,  0.0 ,      64.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 145 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
 146 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
 147 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 148 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
 149 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 150 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 151 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 152 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 153 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 154 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
 155 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 156 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
 157 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,True
 158 ,logistic          ,identity       ,  0.5 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,True
 159 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 160 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 161 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
 162 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0001 ,False
 163 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
 164 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 165 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
 166 ,logistic          ,identity       ,  0.0 ,      64.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
 167 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 168 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,False
 169 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 170 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 171 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 172 ,logistic          ,identity       ,  0.5 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,True
 173 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 174 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 175 ,logistic          ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,True
 176 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 177 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
 178 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0001 ,False
 179 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,True
 180 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
 181 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
 182 ,tanh              ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 183 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 184 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
 185 ,logistic          ,identity       ,  0.0 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
 186 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 187 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
